,name,chapters,category,category2,category3,category4,category5,category6,category7,category8,categoy9,watch
0,86 EIGHTY-SIX,49 chapters,Action,Sci-fi,-,-,-,-,-,-,-,Avalible on Crunchyroll
1,91 Days,14 chapters,Action,Historical,Seinen,-,-,-,-,-,-,Avalible on Crunchyroll
2,A Certain Magical Index III,50 chapters,Action,Fantasy,Sci-fi,-,-,-,-,-,-,Avalible on Crunchyroll
3,A Certain Scientific Accelerator,12 chapters,Action,Sci-fi,-,-,-,-,-,-,-,Avalible on Crunchyroll
4,A Certain Scientific Railgun,49 chapters,Action,Sci-fi,-,-,-,-,-,-,-,Avalible on Crunchyroll
5,Absolute Duo,12 chapters,Action,Fantasy,Romance,-,-,-,-,-,-,Avalible on Crunchyroll
6,Active Raid,24 chapters,Action,Mecha,Sci-fi,-,-,-,-,-,-,Avalible on Crunchyroll
7,Akashic Records of Bastard Magical Instructor,24 chapters,Action,Adventure,Fantasy,-,-,-,-,-,-,Avalible on Crunchyroll
8,Akudama Drive,24 chapters,Action,Thriller,-,-,-,-,-,-,-,Avalible on Crunchyroll
9,Alderamin on the Sky,13 chapters,Action,Adventure,Fantasy,-,-,-,-,-,-,Avalible on Crunchyroll
10,Aldnoah Zero,25 chapters,Action,Mecha,Sci-fi,-,-,-,-,-,-,Avalible on Crunchyroll
11,Alice & Zoroku,13 chapters,Action,Adventure,Slice of Life,Supernatural,-,-,-,-,-,Avalible on Crunchyroll
12,ALL OUT!!,25 chapters,Action,Sports,-,-,-,-,-,-,-,Avalible on Crunchyroll
13,AMAIM Warrior at the Borderline,25 chapters,Action,Sci-fi,-,-,-,-,-,-,-,Avalible on Crunchyroll
14,Ange Vierge,12 chapters,Action,Adventure,Fantasy,Sci-fi,-,-,-,-,-,Avalible on Crunchyroll
15,Angel Beats!,13 chapters,Action,Comedy,Fantasy,Romance,-,-,-,-,-,Avalible on Crunchyroll
16,Angolmois: Record of Mongol Invasion,12 chapters,Action,Historical,-,-,-,-,-,-,-,Avalible on Crunchyroll
17,Anime Crimes Division,9 chapters,Action,Comedy,Sci-fi,-,-,-,-,-,-,Avalible on Crunchyroll
18,Assassination Classroom,140 chapters,Action,Comedy,Sci-fi,-,-,-,-,-,-,Avalible on Crunchyroll
19,ASSASSINS PRIDE,12 chapters,Action,Fantasy,-,-,-,-,-,-,-,Avalible on Crunchyroll
20,Assault Lily BOUQUET,12 chapters,Action,Fantasy,-,-,-,-,-,-,-,Avalible on Crunchyroll
21,Attack on Titan,96 chapters,Action,Adventure,Fantasy,Post Apocalyptic,Thriller,-,-,-,-,Avalible on Crunchyroll
22,Attack on Titan (Dubs),119 chapters,Action,Adventure,Fantasy,Shonen,-,-,-,-,-,Avalible on Crunchyroll
23,AZUR LANE,24 chapters,Action,Sci-fi,-,-,-,-,-,-,-,Avalible on Crunchyroll
24,BAKUMATSU,24 chapters,Action,-,-,-,-,-,-,-,-,Avalible on Crunchyroll
25,Basilisk : The Ouka Ninja Scrolls,24 chapters,Action,Fantasy,Historical,Seinen,-,-,-,-,-,Avalible on Crunchyroll
26,Battle Game in 5 Seconds,24 chapters,Action,Thriller,Supernatural,-,-,-,-,-,-,Avalible on Crunchyroll
27,BBK/BRNK,24 chapters,Action,Mecha,Sci-fi,-,-,-,-,-,-,Avalible on Crunchyroll
28,Berserk,26 chapters,Action,Fantasy,Seinen,Supernatural,-,-,-,-,-,Avalible on Crunchyroll
29,Big Order,10 chapters,Action,Mistery,Post Apocalyptic,Thriller,-,-,-,-,-,Avalible on Crunchyroll
30,Black Cat,24 chapters,Action,Comedy,-,-,-,-,-,-,-,Avalible on Crunchyroll
31,Black Clover,171 chapters,Action,Adventure,Comedy,Fantasy,Shonen,-,-,-,-,Avalible on Crunchyroll
32,Black Clover (Doblajes),283 chapters,Action,Adventure,Comedy,Fantasy,Shonen,-,-,-,-,Avalible on Crunchyroll
33,Black Rock Shooter,8 chapters,Action,Sci-fi,-,-,-,-,-,-,-,Avalible on Crunchyroll
34,Black Summoner,12 chapters,Action,Fantasy,-,-,-,-,-,-,-,Avalible on Crunchyroll
35,BLACKFOX,1 chapters,Action,Sci-fi,-,-,-,-,-,-,-,Avalible on Crunchyroll
36,Blade and Soul,13 chapters,Action,Adventure,Fantasy,-,-,-,-,-,-,Avalible on Crunchyroll
37,Blade Runner: Black Lotus,26 chapters,Action,Sci-fi,-,-,-,-,-,-,-,Avalible on Crunchyroll
38,Bleach (International Dubs),228 chapters,Action,Adventure,Comedy,Supernatural,-,-,-,-,-,Avalible on Crunchyroll
39,Blood Blockade Battlefront,24 chapters,Action,Sci-fi,Supernatural,-,-,-,-,-,-,Avalible on Crunchyroll
40,Bloodivores,12 chapters,Action,Supernatural,-,-,-,-,-,-,-,Avalible on Crunchyroll
41,Blue Exorcist,37 chapters,Action,Adventure,Comedy,Fantasy,Supernatural,-,-,-,-,Avalible on Crunchyroll
42,Blue Reflection Ray,48 chapters,Action,-,-,-,-,-,-,-,-,Avalible on Crunchyroll
